nome.empresa,setor.1,setor.2,setor.3,patrimonio.liquido,lucro.liquido,atividades.operacionais,total.acoes,mil
HAGA S.A. INDUSTRIA E COMERCIO,Bens Industriais,Construção e Engenharia,Produtos para Construção,-78493030,-1651174,-3819065,NA,FALSE
HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,3820249e3,205394e3,229958e3,NA,TRUE
HELBOR EMPREENDIMENTOS S.A.,Consumo Cíclico,Construção Civil,Incorporações,1125453e3,-39963e3,51582e3,NA,TRUE
HERCULES S.A. FABRICA DE TALHERES,Consumo Cíclico,Utilidades Domésticas,Utensílios Domésticos,-386457e3,-49e3,0,243.75,TRUE
HOTEIS OTHON S.A.,Consumo Cíclico,Hoteis e Restaurantes,Hotelaria,-249277e3,-3098e3,2017e3,NA,TRUE
HYPERA S.A.,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,8425759e3,321182e3,191818e3,NA,TRUE
IDEIASNET S.A.,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,14012e3,791e3,-1206e3,NA,TRUE
IGB ELETRÔNICA S/A,Financeiro,Exploração de Imóveis,Exploração de Imóveis,-849061e3,-9825e3,1154e3,NA,TRUE
IGUA SANEAMENTO S.A.,Utilidade Pública,água e Saneamento,água e Saneamento,701682e3,4349e3,-11594e3,0,TRUE
IGUATEMI EMPRESA DE SHOPPING CENTERS S.A,Financeiro,Exploração de Imóveis,Exploração de Imóveis,2900283e3,55453e3,89698e3,NA,TRUE
INDUSTRIAS J B DUARTE S.A.,Outros,Outros,Outros,14496e3,16629e3,251e3,NA,TRUE
INDUSTRIAS ROMI S.A.,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,753628e3,873e5,-5926e3,NA,TRUE
INEPAR S.A. INDUSTRIA E CONSTRUCOES,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,-1587478e3,-311886e3,-2188e3,0,TRUE
INNCORP S.A.,Outros,Outros,Outros,-167916,-154354,-3909,0,FALSE
INSTITUTO HERMES PARDINI S.A.,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,624985e3,29069e3,36554e3,NA,TRUE
INTER CONSTRUTORA E INCORPORADORA S.A.,Consumo Cíclico,Construção Civil,Incorporações,56410261,6838569,1770187,0,FALSE
INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares,913566e3,-8003e3,16013e3,NA,TRUE
INVESTIMENTOS BEMGE S.A.,Outros,Outros,Outros,222172e3,2146e3,0,42.57,TRUE
INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,1495728e3,-295988e3,581424e3,NA,TRUE
IOCHPE MAXION S.A.,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas,3214234e3,81054e3,-196078e3,NA,TRUE
IRB - BRASIL RESSEGUROS S.A.,Financeiro,Previdência e Seguros,Seguradoras,366117e4,350427e3,1023022e3,NA,TRUE
ITAPEBI GERACAO DE ENERGIA S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,316732e3,6368e3,-625e4,0,TRUE
ITAU UNIBANCO HOLDING S.A.,Financeiro,Intermediários Financeiros,Bancos,138659e6,6903e6,6597e6,NA,TRUE
ITAUSA INVESTIMENTOS ITAU S.A.,Financeiro,Intermediários Financeiros,Bancos,53361e6,2501e6,56e6,NA,TRUE
J. MACEDO S.A.,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,622192e3,-116e4,-213155e3,NA,TRUE
JBS S.A.,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,29446094e3,1168437e3,-132652e3,NA,TRUE
JEREISSATI PARTICIPACOES S.A.,Financeiro,Exploração de Imóveis,Exploração de Imóveis,2900836e3,473e5,86011e3,NA,TRUE
JHSF PARTICIPACOES S.A.,Consumo Cíclico,Construção Civil,Incorporações,2286225e3,16918e3,-40972e3,NA,TRUE
JOAO FORTES ENGENHARIA S.A.,Consumo Cíclico,Construção Civil,Incorporações,260839e3,-427819e3,166351e3,NA,TRUE
JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,663032e3,2423e3,14305e3,NA,TRUE
JSL S.A.,Bens Industriais,Transporte,Transporte Rodoviário,1326475e3,6076e4,-42093e3,NA,TRUE
KARSTEN S.A.,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,-280082e3,-20086e3,2479e4,888.075,TRUE
KEPLER WEBER S.A.,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,445107e3,4082e3,-12492e3,NA,TRUE
KLABIN S.A.,Materiais Básicos,Madeira e Papel,Papel e Celulose,6334688e3,-196164e3,432241e3,NA,TRUE
KROTON EDUCACIONAL S.A.,Consumo Cíclico,Diversos,Serviços Educacionais,16062783e3,250149e3,-267416e3,NA,TRUE
LIBRA TERMINAL RIO S.A.,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,-172151e3,18196e3,36073e3,0,TRUE
LIGHT S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,3553715e3,164223e3,154456e3,NA,TRUE
LIGHT SERVICOS DE ELETRICIDADE S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,2421501e3,-24628e3,15198e3,0,TRUE
LINX S.A.,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,1076515e3,1718e4,45585e3,NA,TRUE
LIQ PARTICIPAÇÕES S.A.,Bens Industriais,Serviços,Serviços Diversos,50549e3,-51187e3,-542e3,NA,TRUE
LITEL PARTICIPACOES S.A.,Materiais Básicos,Mineração,Minerais Metálicos,31396825e3,-1355993e3,1214e3,0,TRUE
LOCALIZA RENT A CAR S.A.,Consumo Cíclico,Diversos,Aluguel de carros,5018286e3,21078e4,-419816e3,NA,TRUE
LOG COMMERCIAL PROPERTIES,Financeiro,Exploração de Imóveis,Exploração de Imóveis,2271097e3,13072e3,18816e3,NA,TRUE
LOG-IN LOGISTICA INTERMODAL S.A.,Bens Industriais,Transporte,Transporte Hidroviário,-349252e3,5225e3,55601e3,NA,TRUE
LOJAS AMERICANAS S.A.,Consumo Cíclico,Comércio,Produtos Diversos,5963585e3,-107082e3,-221375e3,NA,TRUE
LOJAS RENNER S.A.,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,4060519e3,161598e3,-70304e3,NA,TRUE
LONGDIS S.A.,Outros,Outros,Outros,-132535,-136350,-2424,24.013,FALSE
LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.,Financeiro,Exploração de Imóveis,Intermediação Imobiliária,15413e3,-3274e3,938e3,NA,TRUE
LUPATECH S.A.,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Equipamentos e Serviços,115171e3,-19596e3,-1075e3,NA,TRUE
M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,5619792e3,56929e3,205507e3,NA,TRUE
MAESTRO LOCADORA DE VEICULOS S.A.,Consumo Cíclico,Diversos,Aluguel de carros,49533e3,791e3,5241e3,0,TRUE
MAGAZINE LUIZA S.A.,Consumo Cíclico,Comércio,Eletrodomésticos,2433043e3,132104e3,-121012e3,NA,TRUE
MAHLE-METAL LEVE S.A.,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas,1404016e3,63218e3,60709e3,NA,TRUE
MANGELS INDUSTRIAL S.A.,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,-365718e3,-1593e3,-1645e4,NA,TRUE
MANUFATURA DE BRINQUEDOS ESTRELA S.A.,Consumo Cíclico,Viagens e Lazer,Brinquedos e Jogos,-452044e3,-14383e3,7171e3,553.1,TRUE
MARCOPOLO S.A.,Bens Industriais,Material de Transporte,Material Rodoviário,2182177e3,26993e3,89484e3,NA,TRUE
MARFRIG GLOBAL FOODS S.A.,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,4132467e3,142075e3,-711522e3,NA,TRUE
MARISA LOJAS S.A.,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,933576e3,-40865e3,-17514e3,NA,TRUE
MENDES JUNIOR ENGENHARIA S.A.,Bens Industriais,Construção e Engenharia,Construção Pesada,-10788329e3,-71731e3,66e3,331.286,TRUE
MERCANTIL BRASIL FINANC S.A. C.F.I.,Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento,239228e3,9307e3,4538e4,NA,TRUE
METALFRIO SOLUTIONS S.A.,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,98302e3,17344e3,15458e3,NA,TRUE
METALGRAFICA IGUACU S.A.,Materiais Básicos,Embalagens,Embalagens,21640057,-3023001,2074877,43.163,FALSE
METALURGICA GERDAU S.A.,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,26258323e3,43898e4,-420189e3,NA,TRUE
METALURGICA RIOSULENSE S.A.,Bens Industriais,Material de Transporte,Material Rodoviário,-16203e3,3715e3,3727e3,139.898,TRUE
